ID,RESIDENTIAL,BUSINESS,RURAL,ONE_WAY,BOTH_WAY,SIDE_1,SIDE_2,SIDE_3,SIDE_4,INTERSECTION3,INTERSECTION4,LANE_1,LANE_2,LANE_3,CROSS_NO,CROSS_YES,STOPCAR_ZERO,STOPCAR_LOW,STOPCAR_MID,STOPCAR_HIGH,PEDESTRIAN_LOW,PEDESTRIAN_MID,PEDESTRIAN_HIGH,TRAFFIC_LOW,TRAFFIC_MID,TRAFFIC_HIGH,LEAD_NO,LEAD_YES,SUNNY,RAIN,TIME6_10,TIME10_16,TIME16_20,TIME20_6,AGE_UNKOWN,AGE_OLDER,AGE_MATURE,AGE_YOUNG,AGE_CHILD,SIGNAL_NO,SIGNAL_YES,Y_SIGNAL_NO,Y_SIGNAL_YES,YGAP,VLIM,BRIGHTNESS,SCT,TTC,VCAR,V4,AX7,DBLIND,DOBJ,PET,V_OBJ,YEAR,MONTH,TIME
17371,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,1.9,30,1,0.86,1.7,24,22.3,1.7,10.3,1.3,0,13,2006,1,8
18983,0,1,0,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,3.6,30,1,0.55,1.7,41,38.5,0.8,13.3,7.1,0,10.8,2006,3,13
110340,1,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,2.4,30,3,2.45,3.1,16.3,14.5,0.5,12,2.4,0.4,9.3,2006,11,17
110396,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,3,30,3,0.82,1.9,37.3,38.7,0.2,13,7.5,0,10.8,2006,11,3
110551,0,1,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,3.6,30,3,0.93,1.6,19.3,28.1,0,8.7,0.5,0.8,4.1,2006,11,1
110693,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,3.9,30,3,1.66,2.7,33.9,38.7,-0.3,22.6,3.3,0,9.3,2006,11,18
111513,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,5.1,30,1,1.86,3,39,40.1,-0.1,20,13.1,0.8,7.6,2006,11,10
112969,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,2.1,30,3,0.4,1.7,44.4,32.8,1.2,10.8,10.5,0.4,7.2,2006,12,23
113007,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,3.4,30,1,0.68,1.7,33.6,32.5,0.7,8.7,7.7,0,16.2,2006,12,11
114056,1,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,4.4,30,1,4.38,5.3,29.7,30.5,0.1,38,6.3,1.3,8.1,2006,12,16
114540,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,2.6,30,3,2.23,3.3,33.6,39.8,0.9,18.3,12.6,1.3,16.2,2006,12,0
50268,1,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1.4,30,1,0.54,1.8,43.8,43.8,-0.1,21,1.5,0,6.5,2008,2,11
